# t rg re1 re2
255 3.081028 9.635354 9.635354
256 3.160410 9.352312 9.352312
257 3.106162 9.103348 9.103348
258 2.903253 7.666650 7.666650
259 3.026014 8.650099 8.650099
260 3.234192 8.742521 8.742521
261 3.439690 9.827988 9.827988
262 3.408581 8.421776 8.421776
263 3.216777 6.615914 6.615914
264 3.219828 6.080561 6.080561
265 2.857570 5.684378 5.684378
266 2.804282 4.579569 4.579569
267 2.945346 3.472397 3.472397
268 2.775970 2.610757 2.610757
269 2.691290 3.939377 3.939377
270 2.761470 3.336565 3.336565
271 2.840994 4.220593 4.220593
272 3.117256 5.990376 5.990376
273 3.187643 5.815400 5.815400
274 3.080048 4.799768 4.799768
275 2.883908 6.385617 6.385617
276 2.925198 8.010516 8.010516
277 3.050345 7.994662 7.994662
278 3.095725 7.614581 7.614581
279 2.957286 5.921728 5.921728
280 3.043860 7.383129 7.383129
281 2.794009 7.666282 7.666282
282 2.521067 7.196487 7.196487
283 2.557703 6.545826 6.545826
284 2.650346 5.819460 5.819460
285 2.608291 6.160886 6.160886
286 2.601976 6.199852 6.199852
287 2.697431 4.858315 4.858315
288 2.726525 4.622692 4.622692
289 2.720251 6.136420 6.136420
290 2.685765 6.159246 6.159246
291 2.735335 6.620524 6.620524
292 2.737826 5.771752 5.771752
293 2.657690 4.654106 4.654106
294 2.742826 5.590791 5.590791
295 2.760790 5.758354 5.758354
296 2.690126 7.186434 7.186434
297 2.654686 6.809298 6.809298
298 2.676131 6.099750 6.099750
299 2.801103 6.415933 6.415933
300 2.883218 7.367130 7.367130
301 2.919436 7.993891 7.993891
302 3.085147 8.307600 8.307600
303 2.991374 8.010024 8.010024
304 2.735606 7.403021 7.403021
305 2.772912 6.402925 6.402925
306 2.847139 5.893985 5.893985
307 2.861784 6.569328 6.569328
308 2.980414 6.997932 6.997932
309 2.913076 7.590766 7.590766
310 3.085619 8.573266 8.573266
311 3.110453 9.191865 9.191865
312 3.054752 9.245301 9.245301
313 2.970050 8.501788 8.501788
314 2.879187 8.344884 8.344884
315 2.859662 7.270321 7.270321
316 2.830594 5.992182 5.992182
317 2.798023 7.592582 7.592582
318 2.894782 8.723766 8.723766
319 3.098980 7.722702 7.722702
320 3.000383 8.141497 8.141497
321 3.024409 8.279265 8.279265
322 3.222012 9.392192 9.392192
323 3.339509 9.800943 9.800943
324 3.394173 9.167804 9.167804
325 3.320288 8.701302 8.701302
326 3.257440 8.015136 8.015136
327 3.330058 7.588458 7.588458
328 3.397678 7.690808 7.690808
329 3.443376 7.160344 7.160344
330 3.603454 6.873715 6.873715
331 3.801541 7.426227 7.426227
332 3.690440 7.143580 7.143580
333 3.699976 6.749215 6.749215
334 3.934902 6.524830 6.524830
335 4.143743 7.670668 7.670668
336 4.172067 9.306841 9.306841
337 4.029461 10.017807 10.017807
338 4.261182 10.279384 10.279384
339 4.325979 9.340318 9.340318
340 4.269056 9.475280 9.475280
341 4.212499 9.706750 9.706750
342 4.367380 12.784895 12.784895
343 4.278105 12.985014 12.985014
344 4.174381 11.549285 11.549285
345 4.105887 11.166175 11.166175
346 4.001115 10.280559 10.280559
347 3.880936 10.139745 10.139745
348 3.834014 9.970009 9.970009
349 4.135643 10.930424 10.930424
350 4.089278 9.508956 9.508956
351 3.986917 10.142127 10.142127
352 3.987947 11.073090 11.073090
353 3.867809 9.948250 9.948250
354 4.018789 10.410361 10.410361
355 4.021423 11.038285 11.038285
356 3.977507 11.569924 11.569924
357 3.916854 13.260743 13.260743
358 3.941739 12.957165 12.957165
359 4.166709 13.274784 13.274784
360 4.178191 12.857555 12.857555
361 4.012397 11.479412 11.479412
362 3.742447 10.108016 10.108016
363 3.663024 8.454911 8.454911
364 3.665783 9.019111 9.019111
365 3.470474 8.730692 8.730692
366 3.459591 9.061029 9.061029
367 3.328931 7.817986 7.817986
368 3.296874 7.398467 7.398467
369 3.275886 7.058340 7.058340
370 3.303605 6.057938 6.057938
371 3.407666 6.020214 6.020214
372 3.444187 6.578267 6.578267
373 3.495174 7.323384 7.323384
374 3.369062 5.696432 5.696432
375 3.444400 7.493800 7.493800
376 3.566434 9.059511 9.059511
377 3.280341 8.667617 8.667617
378 3.187803 7.995265 7.995265
379 3.003695 8.720214 8.720214
380 3.097618 9.215564 9.215564
381 3.090111 10.138679 10.138679
382 3.120768 10.157307 10.157307
383 3.105049 9.520074 9.520074
384 3.356595 10.031068 10.031068
385 3.396186 10.919528 10.919528
386 3.497814 10.755762 10.755762
387 3.334732 10.043661 10.043661
388 3.197673 9.767766 9.767766
